Date,data,median,LB,UB
2023-01-29,1,1.0,1,1.0
2023-02-05,0,1.64200395126786,0,204.984823381648
2023-02-12,0,4.88639486182047,0,209.576175519465
2023-02-19,1,1.97637487213601,0,205.434048555629
2023-02-26,2,5.2792552286569,0,204.36620301633
2023-03-05,1,2.67595756770068,0,207.34080106537
2023-03-12,4,4.87404999979588,0,206.34466662271
2023-03-19,4,7.09121995985942,0,203.507945938866
2023-03-26,5,8.53015506800769,0,210.690333752936
2023-04-02,1,8.4601702689779,0,212.542985334688
2023-04-09,0,12.2542933071374,0,210.53776577534
2023-04-16,15,11.8568594655513,0,212.620148293687
2023-04-23,15,10.9874119385501,0,215.295287453664
2023-04-30,16,11.7301217982245,0,217.691641568006
2023-05-07,16,19.9052753372698,0,222.771482750031
2023-05-14,12,21.7932613831469,0,229.208481310685
2023-05-21,20,27.2441627570301,0,228.735585242471
2023-05-28,18,33.9406553678831,0,239.708335516502
2023-06-04,21,32.7424102233337,0,239.630041145416
2023-06-11,0,44.6220645791509,0,254.300814873507
2023-06-18,33,49.5571773043725,0,262.110782109875
2023-06-25,106,56.6119086623021,0,276.875395325171
2023-07-02,41,60.9688067288512,0,289.951928662826
2023-07-09,12,70.9921996528287,0,290.376160242607
2023-07-16,15,81.6378495459871,0,306.59877473501
2023-07-23,14,91.9442283402211,0,326.424942625025
2023-07-30,500,101.496435720056,0,433.701744792362
2023-08-06,14,98.7255067417089,0,333.889513982976
2023-08-13,18,101.616567267271,0,337.241499139918
2023-08-20,14,105.178450053201,0,339.423446279594
2023-08-27,504,133.546811170537,0,606.832441333254
2023-09-03,22,119.274156398766,0,596.875812278613
2023-09-10,19,90.5065892482425,0,318.870136053284
2023-09-17,12,82.592249221961,0,300.992048382482
2023-09-24,312,74.0072071590041,0,298.714620020284
2023-10-01,6,72.0603968943378,0,282.652874257002
2023-10-08,0,59.9779426272493,0,267.77879459719
2023-10-15,2,57.8899914832343,0,261.506730763586
2023-10-22,6,48.2671709315974,0,261.903810187204
2023-10-29,130,44.5126009387683,0,250.623478835532
2023-11-05,1,41.6711022893534,0,249.533305134196
2023-11-12,3,37.5588799466388,0,246.200935846324
2023-11-19,2,39.2952791630147,0,240.024649912346
2023-11-26,81,35.2467283428001,0,238.057157865097
2023-12-03,0,34.2773154421715,0,243.442951383447
2023-12-10,0,31.6169907200898,0,244.20574048389
2023-12-17,0,32.0458140384581,0,245.585796232103
2023-12-24,0,30.0361804050798,0,248.115699720494
2023-12-31,0,31.105315177447,0,258.306860043806
2024-01-07,1,29.3790400451943,0,251.506451781651
