Date,data,median,LB,UB
2023-01-29,1,1.0,1,1.0
2023-02-05,0,26.8193602713811,0,220.961407641483
2023-02-12,0,29.7637404350328,0,222.438766777637
2023-02-19,1,29.7751847326945,0,229.761287716032
2023-02-26,2,31.1566891010249,0,228.813504180818
2023-03-05,1,31.8437767613682,0,224.561438014648
2023-03-12,4,29.424178517491,0,230.144163480191
2023-03-19,4,30.9611712929495,0,225.344556983027
2023-03-26,5,32.721739088109,0,224.787307906687
2023-04-02,1,32.4297350035977,0,227.783600776849
2023-04-09,0,32.1778134141741,0,231.981964578617
2023-04-16,15,34.1278444593023,0,235.762658325073
2023-04-23,15,31.6854805493912,0,228.949936542525
2023-04-30,16,36.0092496218812,0,234.803713882626
2023-05-07,16,38.2331748832798,0,230.987290636717
2023-05-14,12,36.9293201148287,0,231.529930480363
2023-05-21,20,35.5581239580862,0,225.001494911259
2023-05-28,18,38.0743235329173,0,234.027472055276
2023-06-04,21,40.2096658198463,0,241.688355681104
2023-06-11,0,43.3889139088706,0,236.428478697431
2023-06-18,33,50.0858151043167,0,240.495968688694
2023-06-25,106,49.2863201181359,0,247.765628546981
2023-07-02,41,55.0275168065895,0,257.195144991852
2023-07-09,12,55.8566263523107,0,261.583881046404
2023-07-16,15,59.2101054566917,0,264.795551009073
2023-07-23,14,62.7915037172293,0,277.015663085273
2023-07-30,500,62.8601631711615,0,284.668826612459
2023-08-06,14,64.0312964049126,0,282.685984103516
2023-08-13,18,66.8292488304742,0,289.260887013054
2023-08-20,14,68.5620243821412,0,295.944210758183
2023-08-27,504,315.999463416718,0,566.097121933042
2023-09-03,22,117.916651844343,0,351.557920755647
2023-09-10,19,66.4194859692911,0,283.944899820769
2023-09-17,12,58.1876154341561,0,265.328203538714
2023-09-24,312,59.0305443503288,0,262.434517325787
2023-10-01,6,55.6416817326223,0,256.69471271999
2023-10-08,0,49.9732240507659,0,255.194093768676
2023-10-15,2,47.9656611723944,0,246.006542712422
2023-10-22,6,47.7277975654478,0,246.203548264217
2023-10-29,130,45.5042898252157,0,245.248907287652
2023-11-05,1,45.6591041166999,0,237.030709176313
2023-11-12,3,41.2511078855229,0,240.951469890222
2023-11-19,2,38.5811035719677,0,238.47345452971
2023-11-26,81,38.3601658472262,0,237.942284384593
2023-12-03,0,38.1157470226401,0,234.71323364518
2023-12-10,0,37.6375714653702,0,237.787900795636
2023-12-17,0,36.8176551632388,0,241.191259917444
