Date,data,median,LB,UB
2023-01-29,1,1.0,1,1.0
2023-02-05,0,42.5853690060699,0,228.502893021176
2023-02-12,0,41.0499348872695,0,228.270130668697
2023-02-19,1,44.2184994816916,0,232.403703577258
2023-02-26,2,47.1372620722134,0,232.63635963603
2023-03-05,1,44.323424857121,0,236.642771691468
2023-03-12,4,42.8196716337023,0,230.322215586088
2023-03-19,4,46.3992333403105,0,228.364497016531
2023-03-26,5,48.1286981675679,0,237.360064452556
2023-04-02,1,43.3753293748823,0,232.214810336998
2023-04-09,0,45.6526361407749,0,238.602406903352
2023-04-16,15,46.1008431370875,0,237.430889803168
2023-04-23,15,45.7415860361465,0,231.915057106177
2023-04-30,16,47.1032743722776,0,238.360023336202
2023-05-07,16,45.6711045815733,0,235.727025449184
2023-05-14,12,43.9595667036133,0,237.948630800813
2023-05-21,20,44.853785904456,0,230.005998107772
2023-05-28,18,47.8613664285706,0,237.092125677441
2023-06-04,21,47.6229029303646,0,231.363587213036
2023-06-11,0,46.8336530515175,0,235.784902022404
2023-06-18,33,44.5346443909869,0,231.946437932559
2023-06-25,106,48.4614920309365,0,234.220152346973
2023-07-02,41,47.0225075611866,0,234.213947735702
2023-07-09,12,45.537857751217,0,238.594169940839
2023-07-16,15,48.3909981596705,0,238.271934805566
2023-07-23,14,51.5599056359557,0,287.731245932519
2023-07-30,500,62.9326595381426,0,693.805471761773
2023-08-06,14,51.5111205933063,0,254.543144670281
2023-08-13,18,45.5040610445389,0,233.423025413445
2023-08-20,14,49.9706455081419,0,244.899381050439
2023-08-27,504,84.7443824531195,0,695.938755789103
2023-09-03,22,435.368775204623,0,752.493951892176
2023-09-10,19,50.3389132616381,0,244.427178409299
2023-09-17,12,47.8677078818394,0,233.790821461731
2023-09-24,312,52.6893431075208,0,241.315245945533
2023-10-01,6,46.3118259347614,0,237.458739443264
2023-10-08,0,49.3071005996316,0,237.979782729548
2023-10-15,2,47.7014319811189,0,237.694673293586
2023-10-22,6,45.9402916640879,0,230.433385632636
2023-10-29,130,46.3193718371846,0,239.352310589378
2023-11-05,1,45.000651047589,0,235.922582764523
2023-11-12,3,48.8265444933189,0,233.88463815849
2023-11-19,2,48.5592917740661,0,235.178957266195
2023-11-26,81,45.7986948185363,0,239.879811797959
2023-12-03,0,48.2303553661725,0,238.277365646316
2023-12-10,0,47.9724722006237,0,236.678186025181
2023-12-17,0,49.2524436871073,0,233.173602907485
