Date,data,median,LB,UB
2023-01-29,1,1.0,1,1.0
2023-02-05,0,1.81356541490984,0,175.621673748368
2023-02-12,0,2.56272787603184,0,177.153517348813
2023-02-19,1,0.725022759024383,0,182.219747794409
2023-02-26,2,2.39036340790899,0,183.024696724691
2023-03-05,1,3.51904892516383,0,180.601567923538
2023-03-12,4,3.01394975769427,0,181.381037868552
2023-03-19,4,2.67870354788146,0,182.464523034278
2023-03-26,5,3.71915767293954,0,180.14112181363
2023-04-02,1,7.43355492367644,0,184.280538705863
2023-04-09,0,7.36752397973429,0,192.586792975913
2023-04-16,15,9.6165544762272,0,185.400624572511
2023-04-23,15,12.5973200876782,0,194.096173023238
2023-04-30,16,9.92703610155088,0,192.529304758189
2023-05-07,16,17.9204219530498,0,200.893341784297
2023-05-14,12,23.0208035801165,0,204.524110115055
2023-05-21,20,29.0490461062822,0,210.032499917093
2023-05-28,18,32.2837099508992,0,216.943706350082
2023-06-04,21,38.1526490410514,0,218.828684017567
2023-06-11,0,47.8171538564135,0,224.820962960173
2023-06-18,33,54.498699210173,0,236.672933608353
2023-06-25,106,61.8926685605848,0,240.037704426533
2023-07-02,41,68.5015312255383,0,254.011084011086
2023-07-09,12,72.1983130595704,0,256.972589985733
2023-07-16,15,80.7869938344261,0,258.263375569014
2023-07-23,14,82.7963259404411,0,260.957101388673
2023-07-30,500,83.9927424886442,0,268.73408125022
2023-08-06,14,83.5485057738158,0,269.325303908948
2023-08-13,18,81.8731770756276,0,275.184791100706
2023-08-20,14,119.489583209416,0,613.205738178578
2023-08-27,504,458.188469740668,0,745.610776280218
2023-09-03,22,83.6441993014421,0,302.374842083951
2023-09-10,19,58.4163767710298,0,240.409611178177
2023-09-17,12,53.1381639530378,0,250.816518616469
2023-09-24,312,46.0977406543408,0,228.300401931223
2023-10-01,6,37.870247382906,0,221.557606917623
