Date,data,median,LB,UB
2023-01-29,1,1.0,1,1.0
2023-02-05,0,4.55500506716159,0,194.400115816206
2023-02-12,0,4.30890623569169,0,194.439662539046
2023-02-19,1,4.85990820328557,0,191.83321693576
2023-02-26,2,4.68479489429127,0,193.543115490378
2023-03-05,1,6.93132945954467,0,191.631594534532
2023-03-12,4,7.20661297984675,0,194.121893846752
2023-03-19,4,8.94181041068707,0,194.881187030929
2023-03-26,5,10.2335188238559,0,200.276402190312
2023-04-02,1,7.86382299274069,0,199.94325143872
2023-04-09,0,7.14577469154818,0,201.208226835318
2023-04-16,15,14.2300969193297,0,201.889884026701
2023-04-23,15,16.971744005639,0,204.808775511609
2023-04-30,16,16.1934560424208,0,205.458635168318
2023-05-07,16,20.9085340046654,0,204.642808144995
2023-05-14,12,19.036400098735,0,209.2403635034
2023-05-21,20,30.5315714667789,0,217.078442924169
2023-05-28,18,35.8484729791618,0,225.577297890966
2023-06-04,21,38.6594775750744,0,231.051442761907
2023-06-11,0,43.4598769667849,0,236.990011975611
2023-06-18,33,52.177806121301,0,248.293636550291
2023-06-25,106,58.5314578464218,0,253.587319078356
2023-07-02,41,64.6861745885193,0,259.355272795541
2023-07-09,12,73.2244434395488,0,269.042945174125
2023-07-16,15,81.1735053332303,0,279.112929951824
2023-07-23,14,95.2424066574263,0,336.207329569737
2023-07-30,500,125.723573558717,0,628.898096413667
2023-08-06,14,107.152797954283,0,334.501113893747
2023-08-13,18,100.291989759039,0,309.903175035304
2023-08-20,14,102.248733180702,0,310.465236962809
2023-08-27,504,105.73973169929,0,374.518870093884
2023-09-03,22,101.431972851789,0,337.219032914259
2023-09-10,19,91.2955277800761,0,291.674826745486
2023-09-17,12,88.804442757736,0,282.805623435192
2023-09-24,312,82.7711915003319,0,274.139265165336
2023-10-01,6,76.5231070515872,0,269.439397770024
2023-10-08,0,72.3977831074901,0,274.436366751693
2023-10-15,2,67.3056612542619,0,265.380972276595
2023-10-22,6,64.7401174472213,0,253.685903963685
2023-10-29,130,59.3225551188099,0,257.135018207121
2023-11-05,1,59.0236445630942,0,260.171257487945
2023-11-12,3,53.8585700771762,0,259.701139067812
2023-11-19,2,51.5982305921523,0,265.472045790627
2023-11-26,81,49.3184961093567,0,261.275513850386
2023-12-03,0,49.712697516456,0,264.171704278607
2023-12-10,0,49.9264479820782,0,276.403275090057
2023-12-17,0,47.3450736773708,0,274.792527880471
2023-12-24,0,48.1651477093607,0,275.81885175322
2023-12-31,0,42.6176207892068,0,287.856860637852
