Date,data,median,LB,UB
2022-09-11,1,1.0,1.0,1.0
2022-09-18,0,0.607904678630695,-0.0,30.7570277574882
2022-09-25,0,1.08916778496053,-0.0,31.8642448318186
2022-10-02,0,0.73807381623742,-0.0,31.387650233443
2022-10-09,1,0.569577196660705,-0.0,31.7584441862547
2022-10-16,0,0.788014214695149,-0.0,31.5151928313788
2022-10-23,0,0.828351464088861,-0.0,32.3726252042864
2022-10-30,0,0.903177895889472,-0.0,32.1553948736771
2022-11-06,0,1.28742742477763,-0.0,32.5205414748264
2022-11-13,0,1.06037205401378,-0.0,31.8818287095656
2022-11-20,0,1.35774029549339,-0.0,32.9436337452062
2022-11-27,0,2.18862699428512,-0.0,32.6268010276864
2022-12-04,0,2.31457980532166,-0.0,33.1559344186142
2022-12-11,0,2.33227799631119,-0.0,34.7219240461637
2022-12-18,0,2.8580308081389,-0.0,34.5929971277581
2022-12-25,0,3.14857244140195,-0.0,34.1171074642544
2023-01-01,0,3.28850784208085,-0.0,35.2790795597273
2023-01-08,0,3.9974825406692,-0.0,34.7103622957405
2023-01-15,0,4.66811557472176,-0.0,36.7609027633776
2023-01-22,0,5.22288230066776,-0.0,37.627919710816
2023-01-29,1,5.93758057273901,-0.0,36.118873437548
2023-02-05,0,6.56324475419214,-0.0,37.5025018753444
2023-02-12,0,6.97225241783167,-0.0,37.7975470700574
2023-02-19,1,7.67272236179658,-0.0,39.2124577017395
2023-02-26,2,7.94780791637113,-0.0,40.9645067386984
2023-03-05,1,8.92552672571574,-0.0,40.3921948687924
2023-03-12,4,9.56006573262049,-0.0,41.4180779600114
2023-03-19,4,10.6588438449426,-0.0,42.1477657849274
2023-03-26,5,11.5308384045226,-0.0,43.2838756764057
2023-04-02,1,12.5285199126116,-0.0,43.0824309378042
2023-04-09,0,13.8724079019304,-0.0,44.509494992783
2023-04-16,15,14.5551219731219,-0.0,45.5394994655351
2023-04-23,15,16.3225691753217,-0.0,47.2502931082112
2023-04-30,16,17.0733001599503,-0.0,47.173549105006
2023-05-07,16,18.286577516995,-0.0,49.5688335953433
2023-05-14,12,19.5472827089335,-0.0,51.7406319628883
2023-05-21,20,20.8815128235864,-0.0,53.6102022671448
2023-05-28,18,22.2983842406083,-0.0,54.214214490031
2023-06-04,21,23.5732528154523,-0.0,56.6358916795256
2023-06-11,0,23.820911316805,-0.0,57.8791894048847
2023-06-18,33,25.8778650463683,-0.0,59.54770299634
2023-06-25,106,26.7475214901911,-0.0,63.9626707987981
2023-07-02,41,28.5363462417149,-0.0,122.58941920373
2023-07-09,12,29.9936791864671,-0.0,477.481923603207
2023-07-16,15,28.5342625917609,-0.0,65.8351852693299
2023-07-23,14,33.21677001817,-0.0,69.3314156903379
2023-07-30,500,493.39795102005,9.47313422477876,531.95963135089
2023-08-06,14,38.6744567955829,-0.0,83.2441352990442
2023-08-13,18,29.3132447834855,-0.0,73.2728663849983
2023-08-20,14,27.2231411473238,-0.0,65.4653698992954
2023-08-27,504,25.8609191807248,-0.0,63.3026362612447
2023-09-03,22,25.4985701910681,-0.0,62.0438430223737
