Date,data,median,LB,UB
2022-09-04,1,1.0,1.0,1.0
2022-09-11,1,0.226007055288332,-0.0,9.5394721585709
2022-09-18,0,0.333487991519131,-0.0,9.92619274330895
2022-09-25,0,0.413567099149333,-0.0,9.79616263528087
2022-10-02,0,0.40796036553333,-0.0,9.9958765589096
2022-10-09,1,0.525015542697423,-0.0,10.1384879668249
2022-10-16,0,0.458554423908201,-0.0,10.0235037694613
2022-10-23,0,0.444136189458737,-0.0,10.1445039796502
2022-10-30,0,0.691564816401636,-0.0,10.3632381631549
2022-11-06,0,0.675957317987754,-0.0,10.4177492573127
2022-11-13,0,1.00018124501077,-0.0,10.3911569398691
2022-11-20,0,1.21337879535794,-0.0,10.5369554053936
2022-11-27,0,1.26929788893835,-0.0,10.5881654112064
2022-12-04,0,1.28011951599873,-0.0,10.8420756934799
2022-12-11,0,1.67435657188091,-0.0,10.9977153121467
2022-12-18,0,1.67633101625148,-0.0,11.4242737832969
2022-12-25,0,2.08808524416535,-0.0,11.5673345296004
2023-01-01,0,2.08706931634954,-0.0,11.9305589262248
2023-01-08,0,2.50549350191504,-0.0,11.9150099172521
2023-01-15,0,2.85650518135964,-0.0,12.3665294971288
2023-01-22,0,2.95423746902915,-0.0,12.1466337125108
2023-01-29,1,3.32959279359811,-0.0,12.932088165875
2023-02-05,0,3.58738722905161,-0.0,13.0598753784074
2023-02-12,0,4.00593052127905,-0.0,13.5362636200438
2023-02-19,1,4.26379995198814,-0.0,13.7120877178054
2023-02-26,2,4.62736703780607,-0.0,14.2708748952926
2023-03-05,1,4.99206059855157,-0.0,14.6516321730614
2023-03-12,4,5.22140701288509,-0.0,14.865956600747
2023-03-19,4,5.68962105584402,-0.0,15.2111183979445
2023-03-26,5,6.09923550063889,-0.0,15.8097466692777
2023-04-02,1,6.58880590175352,-0.0,16.2574701424658
2023-04-09,0,6.82986509541249,-0.0,16.5411522075941
2023-04-16,15,7.12077743682809,-0.0,16.9804315033049
2023-04-23,15,7.67717863483253,-0.0,17.0335707701045
2023-04-30,16,7.91667945119136,-0.0,17.5710282206904
2023-05-07,16,8.2603392944708,-0.0,17.8936864901835
2023-05-14,12,8.62760213799321,-0.0,18.2742052950875
2023-05-21,20,9.02486276493974,-0.0,19.67491635027
2023-05-28,18,9.12678932628975,-0.0,20.19722291537
2023-06-04,21,9.15051081860692,-0.0,20.0095229664811
2023-06-11,0,9.85831733742063,-0.0,20.0228085054811
2023-06-18,33,30.4756135369182,13.1419845517024,83.7072309953531
2023-06-25,106,103.762371846874,71.8875599540852,117.964549801999
2023-07-02,41,44.0009353349058,14.8239737560923,62.7408214738659
2023-07-09,12,12.6584188042854,2.91548213279481,22.8992878298281
2023-07-16,15,9.80395367977962,-0.0,19.3941333731413
2023-07-23,14,9.58534965883586,-0.0,19.1891209977157
